text,label
you are stupid,harassment
i hate you,harassment
you are useless,harassment
go away idiot,harassment
shut up,harassment
you are dumb,harassment
hello friend,normal
how are you,normal
nice work,normal
good morning,normal
thank you,normal
well done,normal
text,label
you are stupid,harassment
i hate you,harassment
you are useless,harassment
go away idiot,harassment
shut up,harassment
you are dumb,harassment
you are trash,harassment
nobody likes you,harassment
you are a loser,harassment
get lost,harassment
you are pathetic,harassment
stop talking nonsense,harassment
you are horrible,harassment
i can't stand you,harassment
you are annoying,harassment
you are so dumb,harassment
you are a joke,harassment
go to hell,harassment
you are worthless,harassment
you are disgusting,harassment
you are fake,harassment
you are embarrassing,harassment
i hate your work,harassment
you are irritating,harassment
you are not smart,harassment
you are lazy,harassment
this is stupid,harassment
you are terrible,harassment
you are awful,harassment
you are so bad,harassment
you are useless person,harassment
no one cares about you,harassment
you are a failure,harassment
you are dumb person,harassment
stop being stupid,harassment
you are worst,harassment
you are brainless,harassment
you are nonsense,harassment
you are very bad,harassment
you are not good,harassment
hello friend,normal
how are you,normal
good morning,normal
nice work,normal
thank you,normal
well done,normal
have a great day,normal
keep it up,normal
great job,normal
this is helpful,normal
i appreciate it,normal
good effort,normal
well explained,normal
good idea,normal
nice to meet you,normal
happy birthday,normal
good luck,normal
you did well,normal
excellent work,normal
very nice,normal
this is good,normal
good job bro,normal
keep learning,normal
you are amazing,normal
great performance,normal
nice presentation,normal
thank you so much,normal
good work team,normal
awesome job,normal
fantastic work,normal
brilliant idea,normal
good explanation,normal
nice solution,normal
you are doing great,normal
keep going,normal
good progress,normal
you are smart,normal
this is interesting,normal
very helpful,normal
good support,normal
nice effort,normal
thank you for help,normal
appreciate your work,normal
good communication,normal
well organized,normal
great thinking,normal
you are kind,normal
keep improving,normal
good attitude,normal
nice discussion,normal